Месяц выдачи кредита;Сумма кредита;Срок кредита;Возраст клиента;;Пол клиента;Образование клиента;Тип товара;Наличие детей у клиента;Регион выдачи кредита;Доход клиента;Семейное положение;Оператор связи;Является ли клиентом банка;Флаг дефолта по кредиту
8;6500;3;28;ЛОЖЬ;Мужской;Неоконченное высшее;Мебель;Детей нет;Санкт-Петербург или ЛО;26000;Женат/замужем;Мегафон;Не клиент банка;Нет дефолта
8;101000;12;46;ИСТИНА;Мужской;Среднее специальное;Мебель;Дети есть;Москва или МО;33000;Другое;Теле2;Не клиент банка;Нет дефолта
8;13000;10;32;ЛОЖЬ;Женский;Среднее специальное;Бытовая техника;Дети есть;Другие регионы;36000;Другое;МТС;Клиент банка;Нет дефолта
8;13000;12;23;ЛОЖЬ;Мужской;Среднее специальное;Бытовая техника;Дети есть;Другие регионы;16000;Женат/замужем;Мегафон;Клиент банка;Дефолт
8;5000;5;27;ЛОЖЬ;Женский;Среднее;Мобильные телефоны;Детей нет;Другие регионы;27000;Другое;МТС;Клиент банка;Дефолт
8;40500;12;25;ЛОЖЬ;Мужской;Среднее специальное;Мобильные телефоны;Дети есть;Другие регионы;26000;Женат/замужем;Мегафон;Клиент банка;Дефолт
8;44500;12;28;ИСТИНА;Мужской;Высшее;Одежда, изделия из меха и кожи;Детей нет;Москва или МО;81000;Другое;Теле2;Не клиент банка;Нет дефолта
8;34500;10;27;ЛОЖЬ;Женский;Высшее;Мобильные телефоны;Детей нет;Другие регионы;31000;Другое;Билайн;Не клиент банка;Нет дефолта
8;8500;4;30;ЛОЖЬ;Женский;Высшее;Бытовая техника;Дети есть;Другие регионы;31000;Другое;МТС;Не клиент банка;Нет дефолта
8;21500;10;70;ЛОЖЬ;Женский;Среднее специальное;Строительные материалы и инструменты;Детей нет;Другие регионы;22000;Другое;Мегафон;Клиент банка;Нет дефолта
8;14500;8;23;ЛОЖЬ;Женский;Среднее специальное;Бытовая техника;Дети есть;Другие регионы;26000;Другое;Билайн;Клиент банка;Нет дефолта
8;13000;3;37;ЛОЖЬ;Женский;Высшее;Бытовая техника;Дети есть;Другие регионы;36000;Другое;МТС;Не клиент банка;Нет дефолта
8;7500;6;60;ЛОЖЬ;Мужской;Среднее специальное;Бытовая техника;Детей нет;Другие регионы;13000;Женат/замужем;МТС;Не клиент банка;Нет дефолта
8;25500;20;30;ЛОЖЬ;Мужской;Среднее специальное;Одежда, изделия из меха и кожи;Дети есть;Другие регионы;28000;Другое;Билайн;Клиент банка;Нет дефолта
8;44000;18;27;ЛОЖЬ;Мужской;Высшее;Бытовая техника;Дети есть;Другие регионы;31000;Женат/замужем;МТС;Клиент банка;Нет дефолта
8;18000;12;62;ЛОЖЬ;Женский;Среднее специальное;Бытовая техника;Дети есть;Другие регионы;9000;Другое;Мегафон;Клиент банка;Нет дефолта
8;27000;24;21;ИСТИНА;Мужской;Неоконченное высшее;Бытовая техника;Дети есть;Другие регионы;21000;Другое;Билайн;Клиент банка;Нет дефолта
8;73000;9;56;ИСТИНА;Мужской;Среднее специальное;Бытовая техника;Детей нет;Другие регионы;25000;Другое;Билайн;Клиент банка;Нет дефолта
8;18500;6;45;ЛОЖЬ;Женский;Среднее;Мобильные телефоны;Детей нет;Другие регионы;16000;Женат/замужем;Мегафон;Не клиент банка;Дефолт
8;13000;6;51;ЛОЖЬ;Мужской;Высшее;Бытовая техника;Детей нет;Москва или МО;51000;Женат/замужем;Теле2;Клиент банка;Нет дефолта
8;14000;12;24;ЛОЖЬ;Женский;Среднее специальное;Компьютеры, комплектующие;Детей нет;Другие регионы;26000;Женат/замужем;МТС;Не клиент банка;Нет дефолта
8;44000;12;54;ЛОЖЬ;Мужской;Высшее;Косметика и косметические услуги;Детей нет;Другие регионы;36000;Другое;Мегафон;Клиент банка;Нет дефолта
8;11000;12;22;ЛОЖЬ;Женский;Неоконченное высшее;Мобильные телефоны;Детей нет;Другие регионы;29000;Другое;Билайн;Клиент банка;Нет дефолта
8;44000;12;37;ЛОЖЬ;Мужской;Высшее;Косметика и косметические услуги;Детей нет;Москва или МО;26000;Другое;Мегафон;Клиент банка;Нет дефолта
8;25000;18;30;ЛОЖЬ;Женский;Высшее;Мобильные телефоны;Детей нет;Другие регионы;46000;Другое;Билайн;Не клиент банка;Дефолт
8;15000;12;22;ЛОЖЬ;Женский;Высшее;Аудио, Видео, Фото;Детей нет;Другие регионы;41000;Другое;Билайн;Не клиент банка;Нет дефолта
8;13000;3;42;ЛОЖЬ;Мужской;Высшее;Бытовая техника;Детей нет;Москва или МО;41000;Другое;Мегафон;Клиент банка;Нет дефолта
8;65000;10;23;ЛОЖЬ;Мужской;Высшее;Одежда, изделия из меха и кожи;Детей нет;Другие регионы;26000;Другое;Мегафон;Не клиент банка;Нет дефолта
8;19500;12;22;ЛОЖЬ;Мужской;Среднее специальное;Мобильные телефоны;Детей нет;Другие регионы;19000;Другое;Теле2;Клиент банка;Дефолт
8;17500;12;33;ЛОЖЬ;Женский;Высшее;Бытовая техника;Дети есть;Москва или МО;31000;Другое;Теле2;Клиент банка;Нет дефолта
8;19000;12;22;ЛОЖЬ;Женский;Неоконченное высшее;Мобильные телефоны;Детей нет;Санкт-Петербург или ЛО;30000;Другое;Мегафон;Клиент банка;Нет дефолта
8;9500;4;34;ЛОЖЬ;Женский;Среднее;Бытовая техника;Детей нет;Другие регионы;31000;Другое;МТС;Не клиент банка;Нет дефолта
8;27000;18;24;ЛОЖЬ;Женский;Среднее специальное;Компьютеры, комплектующие;Детей нет;Другие регионы;21000;Другое;МТС;Не клиент банка;Нет дефолта
8;30000;12;33;ЛОЖЬ;Женский;Высшее;Бытовая техника;Детей нет;Другие регионы;36000;Женат/замужем;МТС;Клиент банка;Дефолт
8;27000;12;23;ЛОЖЬ;Мужской;Среднее специальное;Компьютеры, комплектующие;Детей нет;Другие регионы;23000;Другое;МТС;Клиент банка;Нет дефолта
8;19000;12;23;ЛОЖЬ;Женский;Среднее специальное;Мобильные телефоны;Детей нет;Другие регионы;41000;Женат/замужем;МТС;Клиент банка;Дефолт
8;41000;18;50;ЛОЖЬ;Мужской;Среднее специальное;Косметика и косметические услуги;Дети есть;Москва или МО;31000;Другое;Мегафон;Клиент банка;Нет дефолта
8;9500;3;51;ЛОЖЬ;Мужской;Среднее специальное;Бытовая техника;Детей нет;Другие регионы;16000;Другое;Мегафон;Не клиент банка;Нет дефолта
8;5500;6;23;ЛОЖЬ;Мужской;Среднее специальное;Ювелирные украшения;Детей нет;Санкт-Петербург или ЛО;31000;Другое;МТС;Не клиент банка;Нет дефолта
8;38500;24;32;ИСТИНА;Женский;Среднее специальное;Косметика и косметические услуги;Детей нет;Другие регионы;31000;Женат/замужем;МТС;Клиент банка;Нет дефолта
8;28000;18;54;ЛОЖЬ;Женский;Среднее;Бытовая техника;Дети есть;Другие регионы;16000;Другое;Мегафон;Клиент банка;Нет дефолта
8;13500;6;68;ЛОЖЬ;Женский;Среднее;Мебель;Дети есть;Другие регионы;14000;Другое;Мегафон;Клиент банка;Нет дефолта
8;22500;12;23;ЛОЖЬ;Мужской;Высшее;Компьютеры, комплектующие;Детей нет;Другие регионы;26000;Другое;МТС;Не клиент банка;Нет дефолта
8;7000;6;37;ЛОЖЬ;Мужской;Среднее специальное;Компьютеры, комплектующие;Дети есть;Другие регионы;25000;Женат/замужем;Билайн;Не клиент банка;Нет дефолта
8;30000;18;19;ЛОЖЬ;Мужской;Среднее;Мобильные телефоны;Детей нет;Другие регионы;25000;Другое;Мегафон;Клиент банка;Дефолт
8;5500;3;36;ЛОЖЬ;Женский;Среднее специальное;Строительные материалы и инструменты;Дети есть;Другие регионы;21000;Другое;Мегафон;Клиент банка;Нет дефолта
8;29500;6;21;ЛОЖЬ;Женский;Неоконченное высшее;Мобильные телефоны;Детей нет;Другие регионы;33000;Никогда не был(а) женат/замужем;МТС;Клиент банка;Нет дефолта
8;26500;12;24;ЛОЖЬ;Мужской;Высшее;Мебель;Детей нет;Другие регионы;41000;Женат/замужем;Мегафон;Не клиент банка;Нет дефолта
8;14500;6;25;ЛОЖЬ;Женский;Среднее специальное;Компьютеры, комплектующие;Дети есть;Другие регионы;26000;Другое;Билайн;Не клиент банка;Нет дефолта
8;28500;10;45;ИСТИНА;Мужской;Высшее;Мобильные телефоны;Дети есть;Другие регионы;66000;Никогда не был(а) женат/замужем;Билайн;Не клиент банка;Нет дефолта
8;87500;18;55;ИСТИНА;Мужской;Среднее специальное;Косметика и косметические услуги;Детей нет;Москва или МО;36000;Другое;Мегафон;Не клиент банка;Нет дефолта
8;41500;12;49;ЛОЖЬ;Мужской;Высшее;Мебель;Детей нет;Другие регионы;19000;Женат/замужем;Мегафон;Не клиент банка;Нет дефолта
8;38000;36;51;ИСТИНА;Мужской;Среднее специальное;Туризм и отдых;Дети есть;Другие регионы;18000;Другое;МТС;Не клиент банка;Нет дефолта
8;21000;15;29;ЛОЖЬ;Мужской;Среднее специальное;Бытовая техника;Детей нет;Другие регионы;36000;Другое;Билайн;Клиент банка;Нет дефолта
8;13500;10;40;ЛОЖЬ;Мужской;Среднее специальное;Мобильные телефоны;Дети есть;Другие регионы;21000;Другое;МТС;Клиент банка;Нет дефолта
8;11500;6;73;ИСТИНА;Мужской;Среднее специальное;Бытовая техника;Детей нет;Другие регионы;13000;Женат/замужем;Теле2;Не клиент банка;Нет дефолта
8;5000;3;47;ЛОЖЬ;Женский;Среднее специальное;Бытовая техника;Детей нет;Другие регионы;51000;Другое;Билайн;Не клиент банка;Нет дефолта
8;15000;3;21;ЛОЖЬ;Женский;Неоконченное высшее;Бытовая техника;Детей нет;Другие регионы;21000;Другое;Теле2;Клиент банка;Нет дефолта
8;16500;12;31;ЛОЖЬ;Мужской;Среднее специальное;Бытовая техника;Дети есть;Другие регионы;15000;Женат/замужем;Мегафон;Не клиент банка;Нет дефолта
8;11000;10;39;ИСТИНА;Женский;Среднее;Бытовая техника;Дети есть;Москва или МО;71000;Другое;МТС;Не клиент банка;Нет дефолта
8;26000;6;53;ЛОЖЬ;Мужской;Среднее специальное;Одежда, изделия из меха и кожи;Дети есть;Другие регионы;16000;Никогда не был(а) женат/замужем;Мегафон;Клиент банка;Нет дефолта
8;9500;10;31;ЛОЖЬ;Мужской;Среднее специальное;Бытовая техника;Дети есть;Другие регионы;16000;Другое;МТС;Не клиент банка;Нет дефолта
8;27500;6;42;ЛОЖЬ;Мужской;Среднее специальное;Бытовая техника;Дети есть;Другие регионы;31000;Никогда не был(а) женат/замужем;Теле2;Клиент банка;Нет дефолта
8;25000;12;54;ЛОЖЬ;Мужской;Высшее;Бытовая техника;Детей нет;Другие регионы;19000;Другое;Теле2;Не клиент банка;Нет дефолта
8;7500;6;25;ЛОЖЬ;Мужской;Высшее;Мобильные телефоны;Детей нет;Другие регионы;19000;Другое;Мегафон;Клиент банка;Нет дефолта
8;29000;12;48;ЛОЖЬ;Женский;Среднее;Компьютеры, комплектующие;Дети есть;Другие регионы;41000;Другое;Мегафон;Не клиент банка;Нет дефолта
8;22500;12;19;ЛОЖЬ;Женский;Среднее специальное;Мобильные телефоны;Детей нет;Другие регионы;31000;Другое;МТС;Клиент банка;Нет дефолта
8;9500;6;25;ЛОЖЬ;Женский;Среднее специальное;Мебель;Детей нет;Другие регионы;16000;Другое;Билайн;Клиент банка;Нет дефолта
8;72000;24;42;ИСТИНА;Женский;Среднее специальное;Бытовая техника;Детей нет;Москва или МО;71000;Никогда не был(а) женат/замужем;Билайн;Клиент банка;Дефолт
8;7000;6;58;ЛОЖЬ;Женский;Среднее специальное;Компьютеры, комплектующие;Дети есть;Другие регионы;21000;Женат/замужем;Теле2;Не клиент банка;Нет дефолта
8;7500;3;36;ЛОЖЬ;Женский;Среднее;Бытовая техника;Детей нет;Другие регионы;31000;Другое;Билайн;Не клиент банка;Нет дефолта
8;33000;6;26;ЛОЖЬ;Мужской;Среднее специальное;Мобильные телефоны;Детей нет;Другие регионы;31000;Другое;Другой;Клиент банка;Нет дефолта
8;35000;6;36;ЛОЖЬ;Мужской;Высшее;Аудио, Видео, Фото;Дети есть;Другие регионы;29000;Другое;Билайн;Клиент банка;Нет дефолта
8;60000;24;30;ИСТИНА;Мужской;Высшее;Бытовая техника;Дети есть;Другие регионы;22000;Другое;МТС;Клиент банка;Нет дефолта
8;7000;6;33;ЛОЖЬ;Мужской;Среднее специальное;Мобильные телефоны;Дети есть;Другие регионы;13000;Женат/замужем;Билайн;Не клиент банка;Нет дефолта
8;51500;12;58;ЛОЖЬ;Мужской;Среднее;Бытовая техника;Детей нет;Другие регионы;11000;Женат/замужем;Мегафон;Клиент банка;Нет дефолта
8;71500;12;26;ИСТИНА;Мужской;Неоконченное высшее;Медицинские услуги;Детей нет;Другие регионы;51000;Другое;МТС;Клиент банка;Нет дефолта
8;54500;12;29;ЛОЖЬ;Женский;Среднее специальное;Строительные материалы и инструменты;Детей нет;Другие регионы;56000;Другое;МТС;Не клиент банка;Дефолт
8;30000;7;59;ЛОЖЬ;Мужской;Высшее;Одежда, изделия из меха и кожи;Детей нет;Другие регионы;24000;Другое;Билайн;Клиент банка;Нет дефолта
8;45000;18;30;ЛОЖЬ;Мужской;Среднее специальное;Косметика и косметические услуги;Дети есть;Другие регионы;26000;Другое;Билайн;Не клиент банка;Нет дефолта
8;43000;10;33;ЛОЖЬ;Мужской;Среднее специальное;Окна, двери;Дети есть;Москва или МО;28000;Женат/замужем;МТС;Не клиент банка;Нет дефолта
8;39500;30;49;ИСТИНА;Мужской;Высшее;Косметика и косметические услуги;Детей нет;Другие регионы;13000;Женат/замужем;Мегафон;Клиент банка;Нет дефолта
8;14000;12;33;ЛОЖЬ;Женский;Среднее специальное;Ювелирные украшения;Детей нет;Другие регионы;51000;Другое;МТС;Не клиент банка;Нет дефолта
8;27500;9;38;ИСТИНА;Женский;Высшее;Компьютеры, комплектующие;Дети есть;Москва или МО;81000;Другое;МТС;Клиент банка;Нет дефолта
8;13000;12;27;ЛОЖЬ;Мужской;Среднее специальное;Мобильные телефоны;Детей нет;Другие регионы;31000;Другое;Мегафон;Не клиент банка;Нет дефолта
8;15000;12;35;ЛОЖЬ;Мужской;Среднее;Бытовая техника;Дети есть;Другие регионы;21000;Женат/замужем;Билайн;Клиент банка;Нет дефолта
8;34000;16;28;ЛОЖЬ;Женский;Среднее специальное;Мобильные телефоны;Детей нет;Другие регионы;41000;Другое;Мегафон;Клиент банка;Дефолт
8;13000;6;30;ЛОЖЬ;Мужской;Высшее;Одежда, изделия из меха и кожи;Дети есть;Другие регионы;26000;Никогда не был(а) женат/замужем;Мегафон;Не клиент банка;Нет дефолта
8;52500;24;63;ИСТИНА;Женский;Высшее;Туризм и отдых;Детей нет;Другие регионы;1000;Другое;Теле2;Клиент банка;Нет дефолта
8;54500;12;27;ЛОЖЬ;Мужской;Высшее;Туризм и отдых;Детей нет;Другие регионы;46000;Другое;Билайн;Клиент банка;Нет дефолта
8;21500;18;29;ЛОЖЬ;Мужской;Высшее;Бытовая техника;Дети есть;Другие регионы;27000;Женат/замужем;МТС;Не клиент банка;Нет дефолта
8;16500;12;78;ИСТИНА;Мужской;Среднее специальное;Окна, двери;Дети есть;Москва или МО;21000;Никогда не был(а) женат/замужем;МТС;Клиент банка;Нет дефолта
8;10000;3;46;ЛОЖЬ;Мужской;Высшее;Мебель;Дети есть;Другие регионы;17000;Женат/замужем;МТС;Не клиент банка;Нет дефолта
8;27500;24;35;ИСТИНА;Мужской;Среднее специальное;Бытовая техника;Дети есть;Другие регионы;31000;Никогда не был(а) женат/замужем;Мегафон;Не клиент банка;Нет дефолта
8;10500;6;31;ЛОЖЬ;Мужской;Высшее;Мобильные телефоны;Дети есть;Другие регионы;22000;Другое;МТС;Клиент банка;Нет дефолта
8;45000;11;27;ЛОЖЬ;Мужской;Высшее;Бытовая техника;Дети есть;Другие регионы;21000;Другое;Мегафон;Клиент банка;Нет дефолта
8;20500;12;21;ЛОЖЬ;Женский;Высшее;Компьютеры, комплектующие;Детей нет;Санкт-Петербург или ЛО;46000;Другое;Мегафон;Клиент банка;Нет дефолта
8;31500;18;61;ЛОЖЬ;Женский;Высшее;Мобильные телефоны;Дети есть;Другие регионы;37000;Другое;Билайн;Клиент банка;Нет дефолта
8;15500;12;22;ЛОЖЬ;Женский;Среднее специальное;Бытовая техника;Детей нет;Другие регионы;16000;Другое;МТС;Не клиент банка;Нет дефолта
8;36000;15;21;ЛОЖЬ;Мужской;Высшее;Мебель;Детей нет;Другие регионы;21000;Женат/замужем;МТС;Не клиент банка;Нет дефолта
8;15500;3;21;ЛОЖЬ;Мужской;Высшее;Бытовая техника;Детей нет;Другие регионы;46000;Другое;МТС;Клиент банка;Нет дефолта
8;118500;11;37;ИСТИНА;Женский;Неоконченное среднее;Мебель;Дети есть;Санкт-Петербург или ЛО;111000;Другое;Мегафон;Клиент банка;Нет дефолта
9;31500;8;31;ЛОЖЬ;Женский;Высшее;Мобильные телефоны;Детей нет;Москва или МО;53000;Женат/замужем;Мегафон;Клиент банка;Дефолт
9;16500;6;38;ЛОЖЬ;Женский;Среднее специальное;Бытовая техника;Детей нет;Другие регионы;19000;Другое;Мегафон;Клиент банка;Нет дефолта
9;15500;6;35;ЛОЖЬ;Женский;Среднее специальное;Мобильные телефоны;Дети есть;Другие регионы;31000;Женат/замужем;МТС;Клиент банка;Дефолт
9;6500;5;51;ЛОЖЬ;Мужской;Среднее специальное;Бытовая техника;Детей нет;Другие регионы;16000;Другое;Билайн;Не клиент банка;Нет дефолта
8;13500;10;25;ЛОЖЬ;Женский;Среднее специальное;Бытовая техника;Дети есть;Другие регионы;26000;Другое;МТС;Клиент банка;Нет дефолта
8;36000;6;39;ЛОЖЬ;Мужской;Высшее;Компьютеры, комплектующие;Дети есть;Другие регионы;55000;Женат/замужем;МТС;Не клиент банка;Нет дефолта
9;78500;30;24;ИСТИНА;Мужской;Среднее специальное;Косметика и косметические услуги;Детей нет;Другие регионы;31000;Другое;МТС;Клиент банка;Нет дефолта
9;30000;10;44;ЛОЖЬ;Мужской;Среднее специальное;Бытовая техника;Дети есть;Другие регионы;20000;Женат/замужем;МТС;Не клиент банка;Нет дефолта
9;53500;24;35;ИСТИНА;Женский;Высшее;Бытовая техника;Дети есть;Другие регионы;71000;Другое;Мегафон;Не клиент банка;Нет дефолта
9;16000;16;19;ЛОЖЬ;Женский;Среднее специальное;Мобильные телефоны;Детей нет;Другие регионы;26000;Женат/замужем;Мегафон;Клиент банка;Нет дефолта
9;109000;36;44;ИСТИНА;Мужской;Высшее;Мебель;Детей нет;Другие регионы;26000;Другое;Билайн;Клиент банка;Нет дефолта
9;36500;24;25;ИСТИНА;Женский;Среднее специальное;Бытовая техника;Детей нет;Другие регионы;32000;Другое;МТС;Клиент банка;Дефолт
9;33500;10;22;ЛОЖЬ;Мужской;Высшее;Мобильные телефоны;Детей нет;Другие регионы;26000;Женат/замужем;Билайн;Не клиент банка;Нет дефолта
9;26500;15;50;ЛОЖЬ;Мужской;Высшее;Мобильные телефоны;Дети есть;Другие регионы;16000;Женат/замужем;Мегафон;Клиент банка;Нет дефолта
9;23500;10;38;ЛОЖЬ;Женский;Высшее;Бытовая техника;Детей нет;Москва или МО;41000;Другое;Мегафон;Клиент банка;Нет дефолта
9;12000;24;28;ИСТИНА;Женский;Среднее специальное;Бытовая техника;Детей нет;Другие регионы;26000;Женат/замужем;МТС;Не клиент банка;Нет дефолта
9;30500;12;19;ЛОЖЬ;Мужской;Среднее специальное;Мобильные телефоны;Детей нет;Другие регионы;31000;Женат/замужем;Билайн;Клиент банка;Нет дефолта
9;20500;12;28;ЛОЖЬ;Мужской;Среднее специальное;Бытовая техника;Дети есть;Другие регионы;26000;Женат/замужем;МТС;Не клиент банка;Нет дефолта
9;15000;10;22;ЛОЖЬ;Мужской;Неоконченное высшее;Мобильные телефоны;Детей нет;Другие регионы;26000;Другое;Мегафон;Клиент банка;Нет дефолта
9;29500;12;78;ИСТИНА;Женский;Высшее;Мототехника (лодки, мото);Детей нет;Другие регионы;13000;Другое;МТС;Клиент банка;Нет дефолта
9;17000;11;23;ЛОЖЬ;Женский;Среднее специальное;Бытовая техника;Дети есть;Другие регионы;31000;Другое;Мегафон;Клиент банка;Нет дефолта
9;56500;12;49;ЛОЖЬ;Женский;Неоконченное высшее;Мебель;Детей нет;Другие регионы;34000;Другое;Мегафон;Не клиент банка;Нет дефолта
9;19000;12;19;ЛОЖЬ;Мужской;Среднее специальное;Бытовая техника;Детей нет;Другие регионы;19000;Другое;Теле2;Клиент банка;Дефолт
9;14500;12;51;ЛОЖЬ;Мужской;Среднее специальное;Окна, двери;Дети есть;Другие регионы;19000;Другое;Мегафон;Клиент банка;Нет дефолта
9;57000;18;44;ЛОЖЬ;Мужской;Высшее;Косметика и косметические услуги;Дети есть;Другие регионы;36000;Другое;МТС;Клиент банка;Дефолт
9;26000;12;34;ЛОЖЬ;Мужской;Высшее;Компьютеры, комплектующие;Дети есть;Другие регионы;56000;Женат/замужем;Билайн;Не клиент банка;Нет дефолта
9;33500;12;24;ЛОЖЬ;Женский;Среднее;Мобильные телефоны;Детей нет;Москва или МО;51000;Другое;МТС;Клиент банка;Нет дефолта
9;31000;12;21;ЛОЖЬ;Женский;Среднее специальное;Мобильные телефоны;Детей нет;Другие регионы;36000;Женат/замужем;Мегафон;Клиент банка;Дефолт
9;52000;15;49;ЛОЖЬ;Женский;Высшее;Обучение;Дети есть;Москва или МО;51000;Другое;Мегафон;Клиент банка;Нет дефолта
9;11000;3;41;ЛОЖЬ;Мужской;Среднее специальное;Компьютеры, комплектующие;Дети есть;Другие регионы;21000;Другое;Билайн;Не клиент банка;Нет дефолта
9;58500;12;59;ЛОЖЬ;Мужской;Среднее;Окна, двери;Дети есть;Другие регионы;38000;Другое;Мегафон;Не клиент банка;Нет дефолта
9;26000;12;45;ЛОЖЬ;Женский;Среднее специальное;Бытовая техника;Дети есть;Другие регионы;16000;Никогда не был(а) женат/замужем;Теле2;Клиент банка;Нет дефолта
9;66500;24;38;ИСТИНА;Мужской;Высшее;Бытовая техника;Дети есть;Другие регионы;121000;Другое;Мегафон;Не клиент банка;Нет дефолта
9;34500;12;45;ЛОЖЬ;Мужской;Высшее;Мебель;Дети есть;Другие регионы;16000;Другое;Мегафон;Клиент банка;Нет дефолта
9;15500;6;29;ЛОЖЬ;Женский;Среднее специальное;Бытовая техника;Детей нет;Другие регионы;21000;Другое;Мегафон;Клиент банка;Нет дефолта
9;19500;12;35;ЛОЖЬ;Мужской;Среднее специальное;Бытовая техника;Детей нет;Другие регионы;21000;Другое;Мегафон;Клиент банка;Нет дефолта
9;12000;12;57;ЛОЖЬ;Мужской;Среднее специальное;Мебель;Дети есть;Другие регионы;16000;Женат/замужем;МТС;Клиент банка;Нет дефолта
9;12000;8;52;ЛОЖЬ;Мужской;Среднее специальное;Бытовая техника;Детей нет;Другие регионы;26000;Другое;Теле2;Не клиент банка;Нет дефолта
9;18500;4;47;ЛОЖЬ;Мужской;Высшее;Фитнес;Дети есть;Другие регионы;31000;Женат/замужем;Мегафон;Не клиент банка;Нет дефолта
9;55000;15;25;ЛОЖЬ;Мужской;Высшее;Обучение;Детей нет;Москва или МО;41000;Другое;МТС;Клиент банка;Нет дефолта
9;28500;12;30;ЛОЖЬ;Женский;Среднее специальное;Компьютеры, комплектующие;Детей нет;Санкт-Петербург или ЛО;31000;Женат/замужем;Мегафон;Клиент банка;Нет дефолта
9;17500;24;35;ИСТИНА;Женский;Высшее;Мебель;Дети есть;Другие регионы;41000;Другое;Мегафон;Клиент банка;Нет дефолта
9;15000;10;23;ЛОЖЬ;Мужской;Среднее специальное;Компьютеры, комплектующие;Детей нет;Другие регионы;18000;Другое;Билайн;Клиент банка;Нет дефолта
9;36000;12;33;ЛОЖЬ;Женский;Среднее специальное;Бытовая техника;Детей нет;Другие регионы;51000;Другое;МТС;Не клиент банка;Нет дефолта
9;8000;6;44;ЛОЖЬ;Мужской;Среднее специальное;Мобильные телефоны;Детей нет;Другие регионы;26000;Другое;МТС;Клиент банка;Нет дефолта
9;7500;6;49;ЛОЖЬ;Мужской;Среднее специальное;Окна, двери;Детей нет;Другие регионы;16000;Другое;МТС;Клиент банка;Нет дефолта
9;42000;8;26;ЛОЖЬ;Женский;Среднее;Окна, двери;Детей нет;Другие регионы;26000;Другое;Билайн;Клиент банка;Нет дефолта
9;6000;4;25;ЛОЖЬ;Женский;Среднее специальное;Ювелирные украшения;Детей нет;Другие регионы;21000;Другое;Теле2;Клиент банка;Дефолт
9;45000;18;31;ЛОЖЬ;Мужской;Высшее;Косметика и косметические услуги;Детей нет;Москва или МО;51000;Другое;Мегафон;Не клиент банка;Нет дефолта
9;11000;6;53;ЛОЖЬ;Мужской;Среднее специальное;Мебель;Дети есть;Другие регионы;26000;Другое;Теле2;Не клиент банка;Нет дефолта
9;28000;12;31;ЛОЖЬ;Мужской;Неоконченное высшее;Бытовая техника;Дети есть;Москва или МО;31000;Другое;Мегафон;Клиент банка;Нет дефолта
9;15000;6;55;ЛОЖЬ;Мужской;Высшее;Компьютеры, комплектующие;Дети есть;Другие регионы;41000;Другое;МТС;Не клиент банка;Нет дефолта
9;15000;3;32;ЛОЖЬ;Женский;Высшее;Мебель;Дети есть;Другие регионы;21000;Другое;Другой;Клиент банка;Нет дефолта
9;21500;12;29;ЛОЖЬ;Женский;Среднее специальное;Мобильные телефоны;Детей нет;Другие регионы;26000;Другое;Билайн;Не клиент банка;Нет дефолта
9;18000;12;43;ЛОЖЬ;Мужской;Высшее;Окна, двери;Дети есть;Другие регионы;26000;Другое;МТС;Не клиент банка;Нет дефолта
9;6000;12;30;ЛОЖЬ;Мужской;Среднее специальное;Мобильные телефоны;Детей нет;Другие регионы;11000;Другое;Мегафон;Клиент банка;Нет дефолта
9;31000;36;62;ИСТИНА;Мужской;Среднее специальное;Спортивные товары;Детей нет;Другие регионы;11000;Другое;Мегафон;Не клиент банка;Нет дефолта
9;6500;6;28;ЛОЖЬ;Мужской;Высшее;Бытовая техника;Дети есть;Другие регионы;29000;Женат/замужем;Теле2;Не клиент банка;Нет дефолта
9;14000;6;27;ЛОЖЬ;Женский;Среднее;Мобильные телефоны;Детей нет;Другие регионы;24000;Другое;МТС;Не клиент банка;Нет дефолта
9;30000;12;51;ЛОЖЬ;Женский;Среднее специальное;Мобильные телефоны;Детей нет;Другие регионы;46000;Женат/замужем;Мегафон;Клиент банка;Дефолт
9;39000;3;60;ЛОЖЬ;Мужской;Среднее специальное;Окна, двери;Детей нет;Москва или МО;15000;Другое;Билайн;Не клиент банка;Нет дефолта
9;44500;24;56;ИСТИНА;Мужской;Высшее;Медицинские услуги;Детей нет;Москва или МО;26000;Женат/замужем;Билайн;Не клиент банка;Нет дефолта
9;15000;12;31;ЛОЖЬ;Мужской;Среднее специальное;Бытовая техника;Дети есть;Другие регионы;31000;Другое;Мегафон;Клиент банка;Нет дефолта
9;14000;12;49;ЛОЖЬ;Мужской;Среднее;Фитнес;Детей нет;Другие регионы;11000;Другое;Билайн;Клиент банка;Нет дефолта
9;6000;6;33;ЛОЖЬ;Мужской;Среднее специальное;Бытовая техника;Дети есть;Другие регионы;19000;Другое;МТС;Не клиент банка;Нет дефолта
9;15500;6;28;ЛОЖЬ;Женский;Среднее специальное;Бытовая техника;Дети есть;Москва или МО;51000;Женат/замужем;Билайн;Клиент банка;Нет дефолта
9;16500;6;44;ЛОЖЬ;Женский;Среднее специальное;Окна, двери;Дети есть;Другие регионы;48000;Другое;Билайн;Не клиент банка;Нет дефолта
9;28500;18;26;ЛОЖЬ;Женский;Среднее специальное;Мобильные телефоны;Детей нет;Другие регионы;29000;Другое;МТС;Не клиент банка;Нет дефолта
