Месяц выдачи кредита;Сумма кредита;Срок кредита;Возраст клиента;;Пол клиента;Образование клиента;Тип товара;Наличие детей у клиента;Регион выдачи кредита;Доход клиента;Семейное положение;Оператор связи;Является ли клиентом банка;Флаг дефолта по кредиту
2;20000;15;27;ЛОЖЬ;Мужской;Высшее;Мобильные телефоны;Детей нет;Другие регионы;31000;Другое;Мегафон;Клиент банка;Нет дефолта
2;57000;24;23;ИСТИНА;Мужской;Высшее;Бытовая техника;Детей нет;Другие регионы;46000;Женат/замужем;Билайн;Клиент банка;Нет дефолта
2;38000;18;22;ЛОЖЬ;Мужской;Среднее специальное;Мебель;Дети есть;Другие регионы;16000;Другое;Теле2;Клиент банка;Нет дефолта
2;10000;12;24;ЛОЖЬ;Мужской;Высшее;Мобильные телефоны;Детей нет;Другие регионы;24000;Другое;Мегафон;Не клиент банка;Нет дефолта
2;34000;6;41;ЛОЖЬ;Женский;Среднее специальное;Мобильные телефоны;Дети есть;Другие регионы;26000;Женат/замужем;Мегафон;Клиент банка;Дефолт
2;22000;10;24;ЛОЖЬ;Женский;Среднее специальное;Мобильные телефоны;Детей нет;Другие регионы;24000;Другое;Мегафон;Не клиент банка;Нет дефолта
2;11000;6;48;ЛОЖЬ;Женский;Среднее;Бытовая техника;Дети есть;Другие регионы;46000;Другое;Мегафон;Клиент банка;Нет дефолта
2;32500;6;47;ЛОЖЬ;Мужской;Высшее;Окна, двери;Дети есть;Москва или МО;51000;Другое;Теле2;Клиент банка;Нет дефолта
2;18000;6;25;ЛОЖЬ;Женский;Высшее;Бытовая техника;Дети есть;Москва или МО;61000;Другое;МТС;Не клиент банка;Нет дефолта
2;11000;6;29;ЛОЖЬ;Женский;Среднее специальное;Компьютеры, комплектующие;Детей нет;Другие регионы;24000;Другое;Мегафон;Клиент банка;Нет дефолта
2;32500;24;63;ИСТИНА;Мужской;Среднее специальное;Бытовая техника;Детей нет;Другие регионы;13000;Другое;Билайн;Клиент банка;Нет дефолта
2;43500;12;56;ЛОЖЬ;Мужской;Высшее;Косметика и косметические услуги;Детей нет;Москва или МО;16000;Другое;Мегафон;Клиент банка;Нет дефолта
2;19500;15;42;ЛОЖЬ;Женский;Высшее;Мобильные телефоны;Дети есть;Другие регионы;21000;Другое;Билайн;Клиент банка;Нет дефолта
2;53500;36;48;ИСТИНА;Мужской;Среднее;Окна, двери;Дети есть;Другие регионы;20000;Другое;Билайн;Клиент банка;Нет дефолта
2;165000;12;48;ИСТИНА;Женский;Среднее специальное;Мебель;Детей нет;Другие регионы;51000;Другое;Теле2;Клиент банка;Нет дефолта
