year;region;salary
2011;Астраханская область;16040.0
2011;Башкортостан;17680.0
2011;Белгородская область;16563.0
2011;Брянская область;13071.0
2011;Бурятия;19891.0
2011;Владимирская область;16054.0
2011;Волгоградская область;15153.0
2011;Вологодская область;19576.0
2011;Воронежская область;15649.0
2011;Дагестан;9996.0
2011;Еврейская автономная область;22907.0
2011;Забайкальский край;18623.0
2011;Ивановская область;13554.0
2011;Ингушетия;12752.0
2011;Иркутская область;20636.0
2011;Кабардино-Балкария;11943.0
2011;Калининградская область;19395.0
2011;Калмыкия;11032.0
2011;Калужская область;19114.0
2011;Камчатский край;42167.0
2011;Карачаево-Черкесия;11684.0
2011;Карелия;21916.0
2011;Кемеровская область;20430.0
2011;Кировская область;14234.0
2011;Костромская область;15160.0
2011;Краснодарский край;17765.0
2011;Красноярский край;25356.0
2011;Курганская область;14247.0
2011;Курская область;14538.0
2011;Ленинградская область;23463.0
2011;Липецкая область;17801.0
2011;Магаданская область;35206.0
2011;Марий Эл;13162.0
2011;Мордовия;12891.0
2011;Москва;43922.0
2011;Московская область;27552.0
2011;Мурманская область;29884.0
2011;Ненецкий автономный округ;44991.0
2011;Нижегородская область;17806.0
2011;Новгородская область;17945.0
2011;Новосибирская область;19638.0
2011;Омская область;17023.0
2011;Оренбургская область;15460.0
2011;Орловская область;13869.0
2011;Пензенская область;13957.0
2011;Пермский край;19648.0
2011;Приморский край;23930.0
2011;Псковская область;14909.0
2011;Республика Алтай;14251.0
2011;Республика Коми;27920.0
2011;Республика Тыва;16917.0
2011;Ростовская область;16294.0
2011;Рязанская область;16161.0
2011;Самарская область;18662.0
2011;Санкт-Петербург;30568.0
2011;Саратовская область;14734.0
2011;Сахалинская область;39630.0
2011;Свердловская область;21722.0
2011;Северная Осетия;11924.0
2011;Смоленская область;15744.0
2011;Ставропольский край;14074.0
2011;Тамбовская область;13360.0
2011;Татарстан;16805.0
2011;Тверская область;16366.0
2011;Томская область;22606.0
2011;Тульская область;16783.0
2011;Тюменская область;24075.0
2011;Удмуртия;15254.0
2011;Ульяновская область;14884.0
2011;Хабаровский край;26283.0
2011;Хакасия;19231.0
2011;Ханты-Мансийский автономный округ;42654.0
2011;Челябинская область;18761.0
2011;Чечня;13571.0
2011;Чувашия;13673.0
2011;Чукотский автономный округ;43612.0
2011;Якутия;30058.0
2011;Ямало-Ненецкий автономный округ;53429.0
2011;Ярославская область;17996.0
2013;Адыгея;18398.0
2013;Алтайский край;17558.0
2013;Амурская область;29148.0
2013;Архангельская область;29228.0
2013;Астраханская область;21293.0
2013;Башкортостан;23938.0
2013;Белгородская область;22156.0
2013;Брянская область;18842.0
2013;Бурятия;26545.0
2013;Владимирская область;20889.0
2013;Волгоградская область;20334.0
2013;Вологодская область;25636.0
2013;Воронежская область;21299.0
2013;Дагестан;16564.0
2013;Еврейская автономная область;27230.0
2013;Забайкальский край;25901.0
2013;Ивановская область;19340.0
2013;Ингушетия;18230.0
2013;Иркутская область;29914.0
2013;Кабардино-Балкария;17560.0
2013;Калининградская область;25721.0
2013;Калмыкия;16201.0
2013;Калужская область;26947.0
2013;Камчатский край;49526.0
2013;Карачаево-Черкесия;17359.0
2013;Карелия;28007.0
2013;Кемеровская область;26569.0
2013;Кировская область;18900.0
2013;Костромская область;18979.0
2013;Краснодарский край;23166.0
2013;Красноярский край;31747.0
2013;Курганская область;19120.0
2013;Курская область;20239.0
2013;Ленинградская область;30483.0
2013;Липецкая область;22057.0
2013;Магаданская область;50465.0
2013;Марий Эл;17749.0
2013;Мордовия;17429.0
2013;Москва;56914.0
2013;Московская область;35744.0
2013;Мурманская область;43024.0
2013;Ненецкий автономный округ;59387.0
2013;Нижегородская область;23762.0
2013;Новгородская область;23234.0
2013;Новосибирская область;26565.0
2013;Омская область;22337.0
2013;Оренбургская область;21594.0
2013;Орловская область;18896.0
2013;Пензенская область;18988.0
2013;Пермский край;25812.0
2013;Приморский край;31108.0
2013;Псковская область;19066.0
2013;Республика Алтай;19265.0
2013;Республика Коми;36988.0
2013;Республика Тыва;22974.0
2013;Ростовская область;21696.0
2013;Рязанская область;21633.0
2013;Самарская область;23664.0
2013;Санкт-Петербург;38990.0
2013;Саратовская область;19627.0
2013;Сахалинская область;51471.0
2013;Свердловская область;27435.0
2013;Северная Осетия;17380.0
2013;Смоленская область;20182.0
2013;Ставропольский край;19018.0
2013;Тамбовская область;18008.0
2013;Татарстан;23318.0
2013;Тверская область;22126.0
2013;Томская область;28166.0
2013;Тульская область;22682.0
2013;Тюменская область;31483.0
2013;Удмуртия;20305.0
2013;Ульяновская область;18694.0
2013;Хабаровский край;34940.0
2013;Хакасия;26134.0
2013;Ханты-Мансийский автономный округ;52432.0
2013;Челябинская область;24592.0
2013;Чечня;19214.0
2013;Чувашия;18492.0
2013;Чукотский автономный округ;62114.0
2013;Якутия;41730.0
2013;Ямало-Ненецкий автономный округ;67373.0
2013;Ярославская область;23510.0
2015;Адыгея;22000.0
2015;Алтайский край;20216.0
2015;Амурская область;34587.0
2015;Архангельская область;34820.0
2015;Астраханская область;25806.0
2015;Башкортостан;27457.0
2015;Белгородская область;25558.0
2015;Брянская область;21700.0
2015;Бурятия;29406.0
2015;Владимирская область;24828.0
2015;Волгоградская область;24667.0
2015;Вологодская область;29162.0
2015;Воронежская область;25320.0
2015;Дагестан;18110.0
2015;Еврейская автономная область;31720.0
2015;Забайкальский край;29786.0
2015;Ивановская область;20749.0
2015;Ингушетия;22226.0
2015;Иркутская область;34823.0
2015;Кабардино-Балкария;20895.0
2015;Калининградская область;28752.0
2015;Калмыкия;19194.0
2015;Калужская область;30817.0
2015;Камчатский край;61956.0
2015;Карачаево-Черкесия;20525.0
2015;Карелия;30974.0
2015;Кемеровская область;29558.0
2015;Кировская область;22321.0
2015;Костромская область;22648.0
2015;Краснодарский край;27113.0
2015;Красноярский край;37445.0
2015;Крым;20261.0
2015;Курганская область;20996.0
2015;Курская область;23022.0
2015;Ленинградская область;35168.0
2015;Липецкая область;25798.0
2015;Магаданская область;58635.0
2015;Марий Эл;19727.0
2015;Мордовия;20582.0
2015;Москва;64286.0
2015;Московская область;41874.0
2015;Мурманская область;44466.0
2015;Ненецкий автономный округ;63584.0
2015;Нижегородская область;27753.0
2015;Новгородская область;26550.0
2015;Новосибирская область;30314.0
2015;Омская область;25396.0
2015;Оренбургская область;24606.0
2015;Орловская область;21357.0
2015;Пензенская область;22918.0
2015;Пермский край;30364.0
2015;Приморский край;34965.0
2015;Псковская область;21516.0
2015;Республика Алтай;22809.0
2015;Республика Коми;42395.0
2015;Республика Тыва;25664.0
2015;Ростовская область;25270.0
2015;Рязанская область;25388.0
2015;Самарская область;27821.0
2015;Санкт-Петербург;46452.0
2015;Саратовская область;22716.0
2015;Сахалинская область;63839.0
2015;Свердловская область;31708.0
2015;Севастополь;21690.0
2015;Северная Осетия;21451.0
2015;Смоленская область;23446.0
2015;Ставропольский край;22834.0
2015;Тамбовская область;21079.0
2015;Татарстан;27175.0
2015;Тверская область;24490.0
2015;Томская область;32882.0
2015;Тульская область;28451.0
2015;Тюменская область;36478.0
2015;Удмуртия;24744.0
2015;Ульяновская область;22748.0
2015;Хабаровский край;38937.0
2015;Хакасия;29475.0
2015;Ханты-Мансийский автономный округ;58161.0
2015;Челябинская область;28247.0
2015;Чечня;22606.0
2015;Чувашия;21309.0
2015;Чукотский автономный округ;70908.0
2015;Якутия;50541.0
2015;Ямало-Ненецкий автономный округ;75112.0
2015;Ярославская область;27618.0
2017;Адыгея;23040.0
2017;Алтайский край;23595.0
2017;Амурская область;39606.0
2017;Архангельская область;43089.0
2017;Астраханская область;27900.0
2017;Башкортостан;30956.0
2017;Белгородская область;30112.0
2017;Брянская область;24919.0
2017;Бурятия;32659.0
2017;Владимирская область;27746.0
2017;Волгоградская область;27355.0
2017;Вологодская область;33647.0
2017;Воронежская область;28633.0
2017;Дагестан;20509.0
2017;Еврейская автономная область;35047.0
2017;Забайкальский край;33370.0
2017;Ивановская область;23459.0
2017;Ингушетия;22829.0
2017;Иркутская область;39578.0
2017;Кабардино-Балкария;22368.0
2017;Калининградская область;33204.0
2017;Калмыкия;21682.0
2017;Калужская область;34266.0
2017;Камчатский край;63677.0
2017;Карачаево-Черкесия;21864.0
2017;Карелия;35986.0
2017;Кемеровская область;33438.0
2017;Кировская область;25974.0
2017;Костромская область;26900.0
2017;Краснодарский край;31278.0
2017;Красноярский край;42157.0
2017;Крым;25358.0
2017;Курганская область;25218.0
2017;Курская область;26962.0
2017;Ленинградская область;41231.0
2017;Липецкая область;29355.0
2017;Магаданская область;69262.0
2017;Марий Эл;24154.0
2017;Мордовия;24134.0
2017;Москва;78111.0
2017;Московская область;47511.0
2017;Мурманская область;53551.0
2017;Ненецкий автономный округ;68876.0
2017;Нижегородская область;33133.0
2017;Новгородская область;29752.0
2017;Новосибирская область;34442.0
2017;Омская область;28105.0
2017;Оренбургская область;27777.0
2017;Орловская область;23983.0
2017;Пензенская область;24994.0
2017;Пермский край;32988.0
2017;Приморский край;41180.0
2017;Псковская область;23513.0
2017;Республика Алтай;25056.0
2017;Республика Коми;45977.0
2017;Республика Тыва;28928.0
2017;Ростовская область;29019.0
2017;Рязанская область;29322.0
2017;Самарская область;31721.0
2017;Санкт-Петербург;55938.0
2017;Саратовская область;25435.0
2017;Сахалинская область;70086.0
2017;Свердловская область;36214.0
2017;Севастополь;28886.0
2017;Северная Осетия;23205.0
2017;Смоленская область;26206.0
2017;Ставропольский край;25443.0
2017;Тамбовская область;24363.0
2017;Татарстан;32183.0
2017;Тверская область;28078.0
2017;Томская область;36915.0
2017;Тульская область;32574.0
2017;Тюменская область;42363.0
2017;Удмуртия;28184.0
2017;Ульяновская область;26506.0
2017;Хабаровский край;44182.0
2017;Хакасия;33629.0
2017;Ханты-Мансийский автономный округ;63475.0
2017;Челябинская область;32759.0
