year;region;ec_crime_per
2011;Липецкая область;12.27
2011;Магаданская область;18.14
2011;Марий Эл;11.55
2011;Мордовия;20.8
2011;Москва;8.02
2011;Московская область;16.09
2011;Мурманская область;10.92
2011;Ненецкий автономный округ;14.25
2011;Нижегородская область;22.9
2011;Новгородская область;25.0
2011;Новосибирская область;18.27
2011;Омская область;16.64
2011;Оренбургская область;8.53
2011;Орловская область;23.8
2011;Пензенская область;8.44
2011;Пермский край;10.11
2011;Приморский край;8.07
2011;Псковская область;9.76
2011;Республика Алтай;12.59
2011;Республика Коми;11.28
2011;Республика Тыва;6.49
2011;Ростовская область;7.93
2011;Рязанская область;10.63
2011;Самарская область;11.6
2011;Санкт-Петербург;9.0
2011;Саратовская область;13.31
2011;Сахалинская область;11.09
2011;Свердловская область;14.41
2011;Севастополь;
2011;Северная Осетия;20.21
2011;Смоленская область;24.78
2011;Ставропольский край;15.89
2011;Тамбовская область;14.99
2011;Татарстан;11.66
2011;Тверская область;20.35
2011;Томская область;10.56
2011;Тульская область;14.52
2011;Тюменская область;23.31
2011;Удмуртия;15.38
2011;Ульяновская область;11.88
2011;Хабаровский край;6.08
2011;Хакасия;7.89
2011;Ханты-Мансийский автономный округ;15.83
2011;Челябинская область;21.89
2011;Чечня;3.06
2011;Чувашия;19.66
2011;Чукотский автономный округ;12.91
2011;Якутия;16.26
2011;Ямало-Ненецкий автономный округ;16.46
2011;Ярославская область;8.6
2012;Адыгея;11.91
2012;Алтайский край;7.27
2012;Амурская область;3.36
2012;Архангельская область;11.48
2012;Астраханская область;17.34
2012;Башкортостан;17.32
2012;Белгородская область;9.98
2012;Брянская область;10.46
2012;Бурятия;7.89
2012;Владимирская область;11.58
2012;Волгоградская область;12.69
2012;Вологодская область;11.36
2012;Воронежская область;8.55
2012;Дагестан;7.64
2012;Еврейская автономная область;7.74
2012;Забайкальский край;15.54
2012;Ивановская область;10.24
2012;Ингушетия;9.2
2012;Иркутская область;7.23
2012;Кабардино-Балкария;10.8
2012;Калининградская область;10.01
2012;Калмыкия;14.13
2012;Калужская область;14.77
2012;Камчатский край;14.31
2012;Карачаево-Черкесия;17.15
2012;Карелия;16.7
2012;Кемеровская область;10.89
2012;Кировская область;11.78
2012;Костромская область;17.65
2012;Краснодарский край;9.29
2012;Красноярский край;9.33
2012;Крым;
2012;Курганская область;12.81
2012;Курская область;10.9
2012;Ленинградская область;8.05
2012;Липецкая область;9.55
2012;Магаданская область;9.19
2012;Марий Эл;7.44
2012;Мордовия;17.98
2012;Москва;8.0
2012;Московская область;13.57
2012;Мурманская область;11.99
2012;Ненецкий автономный округ;9.43
2012;Нижегородская область;23.68
2012;Новгородская область;14.61
2012;Новосибирская область;13.0
2012;Омская область;15.32
2012;Оренбургская область;6.01
2012;Орловская область;22.39
2012;Пензенская область;7.17
2012;Пермский край;12.2
2012;Приморский край;6.91
2012;Псковская область;9.46
2012;Республика Алтай;16.02
2012;Республика Коми;11.75
2012;Республика Тыва;5.3
2012;Ростовская область;7.31
2012;Рязанская область;9.36
2012;Самарская область;9.39
2012;Санкт-Петербург;6.04
2012;Саратовская область;11.13
2012;Сахалинская область;10.74
2012;Свердловская область;12.71
2012;Севастополь;
2012;Северная Осетия;17.86
2012;Смоленская область;18.59
2012;Ставропольский край;15.49
2012;Тамбовская область;7.33
2012;Татарстан;9.87
2012;Тверская область;21.64
2012;Томская область;15.59
2012;Тульская область;12.43
2012;Тюменская область;18.6
2012;Удмуртия;11.16
2012;Ульяновская область;9.64
2012;Хабаровский край;6.15
2012;Хакасия;9.0
2012;Ханты-Мансийский автономный округ;15.17
2012;Челябинская область;17.95
2012;Чечня;3.22
2012;Чувашия;14.97
2012;Чукотский автономный округ;12.55
2012;Якутия;6.22
2012;Ямало-Ненецкий автономный округ;15.26
2012;Ярославская область;9.59
2013;Адыгея;13.5
2013;Алтайский край;6.7
2013;Амурская область;4.36
2013;Архангельская область;8.99
2013;Астраханская область;13.49
2013;Башкортостан;5.16
2013;Белгородская область;8.17
2013;Брянская область;10.16
2013;Бурятия;5.63
2013;Владимирская область;10.52
2013;Волгоградская область;10.4
2013;Вологодская область;8.94
2013;Воронежская область;6.48
2013;Дагестан;6.38
2013;Еврейская автономная область;5.04
2013;Забайкальский край;19.62
2013;Ивановская область;9.73
2013;Ингушетия;10.81
2013;Иркутская область;7.05
2013;Кабардино-Балкария;12.03
2013;Калининградская область;8.33
2013;Калмыкия;11.09
2013;Калужская область;12.74
2013;Камчатский край;9.89
2013;Карачаево-Черкесия;14.92
2013;Карелия;8.59
2013;Кемеровская область;6.83
2013;Кировская область;10.95
2013;Костромская область;13.51
2013;Краснодарский край;6.87
2013;Красноярский край;8.59
2013;Крым;
2013;Курганская область;13.67
2013;Курская область;7.12
2013;Ленинградская область;7.51
2013;Липецкая область;8.32
2013;Магаданская область;11.68
2013;Марий Эл;5.0
2013;Мордовия;16.39
2013;Москва;8.58
2013;Московская область;11.18
2013;Мурманская область;8.32
2013;Ненецкий автономный округ;9.35
2013;Нижегородская область;15.11
2013;Новгородская область;11.23
2013;Новосибирская область;8.63
2013;Омская область;11.65
2013;Оренбургская область;5.82
2013;Орловская область;16.85
2013;Пензенская область;5.12
2013;Пермский край;5.66
2013;Приморский край;7.09
2013;Псковская область;6.95
2013;Республика Алтай;8.22
2013;Республика Коми;9.25
2013;Республика Тыва;4.67
2013;Ростовская область;6.85
2013;Рязанская область;8.4
2013;Самарская область;9.46
2013;Санкт-Петербург;6.09
2013;Саратовская область;7.46
2013;Сахалинская область;11.82
2013;Свердловская область;8.45
2013;Севастополь;
2013;Северная Осетия;19.57
2013;Смоленская область;10.8
2013;Ставропольский край;14.43
2013;Тамбовская область;6.93
2013;Татарстан;8.21
2013;Тверская область;15.76
2013;Томская область;5.85
2013;Тульская область;9.49
2013;Тюменская область;10.19
2013;Удмуртия;10.94
2013;Ульяновская область;7.61
2013;Хабаровский край;6.98
2013;Хакасия;8.65
2013;Ханты-Мансийский автономный округ;11.34
2013;Челябинская область;18.72
2013;Чечня;3.16
2013;Чувашия;14.04
2013;Чукотский автономный округ;8.86
2013;Якутия;4.53
2013;Ямало-Ненецкий автономный округ;12.5
2013;Ярославская область;7.07
2014;Адыгея;10.42
2014;Алтайский край;5.84
2014;Амурская область;3.81
2014;Архангельская область;7.9
2014;Астраханская область;10.66
2014;Башкортостан;5.81
2014;Белгородская область;6.11
2014;Брянская область;4.87
2014;Бурятия;6.52
2014;Владимирская область;6.36
2014;Волгоградская область;9.53
2014;Вологодская область;7.67
2014;Воронежская область;6.48
2014;Дагестан;6.62
2014;Еврейская автономная область;6.46
2014;Забайкальский край;11.18
2014;Ивановская область;8.34
2014;Ингушетия;7.77
2014;Иркутская область;7.45
2014;Кабардино-Балкария;7.99
2014;Калининградская область;8.08
