year;region;crime_per
2012;Калининградская область;158.86
2012;Калмыкия;130.49
2012;Калужская область;146.62
2012;Камчатский край;166.45
2012;Карачаево-Черкесия;77.51
2012;Карелия;179.5
2012;Кемеровская область;238.22
2012;Кировская область;159.87
2012;Костромская область;126.19
2012;Краснодарский край;124.82
2012;Красноярский край;206.4
2012;Крым;
2012;Курганская область;223.78
2012;Курская область;134.55
2012;Ленинградская область;119.6
2012;Липецкая область;115.63
2012;Магаданская область;209.34
2012;Марий Эл;137.12
2012;Мордовия;94.57
2012;Москва;152.02
2012;Московская область;157.22
2012;Мурманская область;182.49
2012;Ненецкий автономный округ;147.75
2012;Нижегородская область;167.45
2012;Новгородская область;201.18
2012;Новосибирская область;190.98
2012;Омская область;153.8
2012;Оренбургская область;141.39
2012;Орловская область;169.32
2012;Пензенская область;99.76
2012;Пермский край;244.23
2012;Приморский край;246.44
2012;Псковская область;156.1
2012;Республика Алтай;227.18
2012;Республика Коми;197.58
2012;Республика Тыва;191.4
2012;Ростовская область;123.09
2012;Рязанская область;83.09
2012;Самарская область;188.34
2012;Санкт-Петербург;113.94
2012;Саратовская область;114.52
2012;Сахалинская область;206.26
2012;Свердловская область;166.1
2012;Севастополь;
2012;Северная Осетия;88.44
2012;Смоленская область;173.26
2012;Ставропольский край;127.68
2012;Тамбовская область;108.35
2012;Татарстан;135.63
2012;Тверская область;189.92
2012;Томская область;218.92
2012;Тульская область;89.71
2012;Тюменская область;216.03
2012;Удмуртия;180.26
2012;Ульяновская область;127.65
2012;Хабаровский край;197.65
2012;Хакасия;207.5
2012;Ханты-Мансийский автономный округ;175.55
2012;Челябинская область;202.74
2012;Чечня;30.1
2012;Чувашия;132.59
2012;Чукотский автономный округ;164.55
2012;Якутия;126.89
2012;Ямало-Ненецкий автономный округ;169.99
2012;Ярославская область;135.93
2013;Адыгея;89.02
2013;Алтайский край;187.7
2013;Амурская область;206.99
2013;Архангельская область;178.35
2013;Астраханская область;170.59
2013;Башкортостан;128.98
2013;Белгородская область;96.89
2013;Брянская область;152.03
2013;Бурятия;244.54
2013;Владимирская область;131.11
2013;Волгоградская область;141.34
2013;Вологодская область;204.22
2013;Воронежская область;130.61
2013;Дагестан;47.53
2013;Еврейская автономная область;185.21
2013;Забайкальский край;319.59
2013;Ивановская область;138.29
2013;Ингушетия;39.55
2013;Иркутская область;235.74
2013;Кабардино-Балкария;100.91
2013;Калининградская область;152.09
2013;Калмыкия;121.56
2013;Калужская область;156.4
2013;Камчатский край;159.2
2013;Карачаево-Черкесия;76.4
2013;Карелия;174.08
2013;Кемеровская область;230.44
2013;Кировская область;165.05
2013;Костромская область;116.18
2013;Краснодарский край;120.34
2013;Красноярский край;206.68
2013;Крым;
2013;Курганская область;217.15
2013;Курская область;117.98
2013;Ленинградская область;115.02
2013;Липецкая область;114.21
2013;Магаданская область;228.93
2013;Марий Эл;119.48
2013;Мордовия;102.74
2013;Москва;146.07
2013;Московская область;152.07
2013;Мурманская область;170.58
2013;Ненецкий автономный округ;119.42
2013;Нижегородская область;143.31
2013;Новгородская область;189.15
2013;Новосибирская область;182.1
2013;Омская область;147.18
2013;Оренбургская область;134.6
2013;Орловская область;157.41
2013;Пензенская область;94.68
2013;Пермский край;215.08
2013;Приморский край;269.39
2013;Псковская область;140.48
2013;Республика Алтай;214.98
2013;Республика Коми;223.8
2013;Республика Тыва;197.71
2013;Ростовская область;121.82
2013;Рязанская область;84.72
2013;Самарская область;162.15
2013;Санкт-Петербург;109.61
2013;Саратовская область;113.09
2013;Сахалинская область;250.11
2013;Свердловская область;160.41
2013;Севастополь;
2013;Северная Осетия;85.57
2013;Смоленская область;151.33
2013;Ставропольский край;121.25
2013;Тамбовская область;108.97
2013;Татарстан;120.41
2013;Тверская область;150.98
2013;Томская область;194.42
2013;Тульская область;82.01
2013;Тюменская область;243.31
2013;Удмуртия;177.89
2013;Ульяновская область;117.92
2013;Хабаровский край;212.1
2013;Хакасия;197.7
2013;Ханты-Мансийский автономный округ;159.23
2013;Челябинская область;194.23
2013;Чечня;27.45
2013;Чувашия;113.85
2013;Чукотский автономный округ;156.36
2013;Якутия;113.28
2013;Ямало-Ненецкий автономный округ;168.94
2013;Ярославская область;121.02
2014;Адыгея;90.61
2014;Алтайский край;184.45
2014;Амурская область;212.68
2014;Архангельская область;165.99
2014;Астраханская область;155.42
2014;Башкортостан;130.5
2014;Белгородская область;92.58
2014;Брянская область;137.61
2014;Бурятия;252.52
2014;Владимирская область;133.07
2014;Волгоградская область;141.75
2014;Вологодская область;204.97
2014;Воронежская область;144.9
2014;Дагестан;46.62
2014;Еврейская автономная область;203.37
2014;Забайкальский край;294.86
2014;Ивановская область;142.59
2014;Ингушетия;35.83
2014;Иркутская область;219.83
2014;Кабардино-Балкария;91.81
2014;Калининградская область;161.69
2014;Калмыкия;102.65
2014;Калужская область;167.32
2014;Камчатский край;155.63
2014;Карачаево-Черкесия;72.81
2014;Карелия;199.48
2014;Кемеровская область;226.73
2014;Кировская область;168.76
2014;Костромская область;121.89
2014;Краснодарский край;127.6
2014;Красноярский край;197.56
2014;Крым;93.17
2014;Курганская область;232.86
2014;Курская область;118.41
2014;Ленинградская область;110.54
2014;Липецкая область;106.34
2014;Магаданская область;204.91
2014;Марий Эл;107.73
2014;Мордовия;109.68
2014;Москва;151.03
2014;Московская область;127.65
2014;Мурманская область;167.06
2014;Ненецкий автономный округ;152.24
2014;Нижегородская область;117.51
2014;Новгородская область;205.97
2014;Новосибирская область;170.43
2014;Омская область;146.99
2014;Оренбургская область;137.48
2014;Орловская область;151.74
2014;Пензенская область;98.63
2014;Пермский край;196.95
2014;Приморский край;251.98
2014;Псковская область;135.22
2014;Республика Алтай;205.44
2014;Республика Коми;237.71
2014;Республика Тыва;211.32
2014;Ростовская область;127.38
2014;Рязанская область;84.64
2014;Самарская область;158.04
2014;Санкт-Петербург;110.02
2014;Саратовская область;108.88
2014;Сахалинская область;234.39
2014;Свердловская область;161.19
2014;Севастополь;145.0
2014;Северная Осетия;84.9
2014;Смоленская область;142.1
2014;Ставропольский край;119.79
2014;Тамбовская область;107.33
2014;Татарстан;116.67
2014;Тверская область;153.12
2014;Томская область;192.65
2014;Тульская область;80.72
2014;Тюменская область;214.61
2014;Удмуртия;177.15
2014;Ульяновская область;121.74
2014;Хабаровский край;220.9
2014;Хакасия;260.65
2014;Ханты-Мансийский автономный округ;151.13
2014;Челябинская область;179.68
2014;Чечня;25.99
2014;Чувашия;111.15
2014;Чукотский автономный округ;127.58
2014;Якутия;112.22
2014;Ямало-Ненецкий автономный округ;166.92
2014;Ярославская область;121.97
2015;Адыгея;110.38
2015;Алтайский край;203.71
2015;Амурская область;240.47
2015;Архангельская область;195.72
2015;Астраханская область;144.66
2015;Башкортостан;174.21
2015;Белгородская область;102.02
2015;Брянская область;140.5
2015;Бурятия;284.08
2015;Владимирская область;151.88
2015;Волгоградская область;163.04
2015;Вологодская область;245.42
2015;Воронежская область;168.58
2015;Дагестан;50.6
2015;Еврейская автономная область;215.24
2015;Забайкальский край;306.89
2015;Ивановская область;146.04
2015;Ингушетия;37.25
2015;Иркутская область;221.76
2015;Кабардино-Балкария;100.46
2015;Калининградская область;170.31
2015;Калмыкия;113.09
2015;Калужская область;180.29
2015;Камчатский край;180.48
2015;Карачаево-Черкесия;86.39
2015;Карелия;248.18
2015;Кемеровская область;230.04
2015;Кировская область;198.05
2015;Костромская область;142.33
2015;Краснодарский край;137.62
2015;Красноярский край;217.86
2015;Крым;146.85
2015;Курганская область;256.02
2015;Курская область;127.3
2015;Ленинградская область;114.46
2015;Липецкая область;124.42
2015;Магаданская область;223.47
2015;Марий Эл;121.61
2015;Мордовия;113.61
2015;Москва;160.06
2015;Московская область;123.33
2015;Мурманская область;242.16
2015;Ненецкий автономный округ;193.67
2015;Нижегородская область;125.92
2015;Новгородская область;211.22
2015;Новосибирская область;193.94
2015;Омская область;155.43
2015;Оренбургская область;153.72
2015;Орловская область;153.68
2015;Пензенская область;101.93
2015;Пермский край;220.82
2015;Приморский край;245.22
2015;Псковская область;168.08
2015;Республика Алтай;248.85
2015;Республика Коми;276.79
2015;Республика Тыва;268.95
2015;Ростовская область;146.79
2015;Рязанская область;91.28
2015;Самарская область;153.65
2015;Санкт-Петербург;108.79
2015;Саратовская область;119.36
2015;Сахалинская область;230.76
2015;Свердловская область;167.0
2015;Севастополь;207.43
2015;Северная Осетия;95.4
2015;Смоленская область;142.63
2015;Ставропольский край;129.52
2015;Тамбовская область;124.55
2015;Татарстан;135.1
2015;Тверская область;174.33
2015;Томская область;215.03
2015;Тульская область;87.21
2015;Тюменская область;216.75
2015;Удмуртия;194.72
2015;Ульяновская область;130.37
2015;Хабаровский край;231.23
2015;Хакасия;257.08
2015;Ханты-Мансийский автономный округ;147.54
2015;Челябинская область;201.88
2015;Чечня;25.0
2015;Чувашия;126.71
2015;Чукотский автономный округ;161.06
2015;Якутия;123.8
2015;Ямало-Ненецкий автономный округ;177.93
2015;Ярославская область;171.11
2016;Адыгея;102.75
2016;Алтайский край;187.55
2016;Амурская область;231.55
