year;region;unsolved
2014;Новгородская область;38.3
2014;Новосибирская область;48.71
2014;Омская область;34.11
2014;Оренбургская область;39.1
2014;Орловская область;50.99
2014;Пензенская область;31.08
2014;Пермский край;42.12
2014;Приморский край;55.37
2014;Псковская область;41.35
2014;Республика Алтай;23.85
2014;Республика Коми;33.75
2014;Республика Тыва;32.89
2014;Ростовская область;51.23
2014;Рязанская область;28.6
2014;Самарская область;40.38
2014;Санкт-Петербург;48.93
2014;Саратовская область;36.72
2014;Сахалинская область;76.25
2014;Свердловская область;42.86
2014;Севастополь;97.98
2014;Северная Осетия;14.64
2014;Смоленская область;30.26
2014;Ставропольский край;37.52
2014;Тамбовская область;28.48
2014;Татарстан;46.22
2014;Тверская область;49.49
2014;Томская область;45.39
2014;Тульская область;31.34
2014;Тюменская область;49.11
2014;Удмуртия;34.42
2014;Ульяновская область;35.14
2014;Хабаровский край;45.84
2014;Хакасия;38.74
2014;Ханты-Мансийский автономный округ;35.28
2014;Челябинская область;44.46
2014;Чечня;20.29
2014;Чувашия;27.82
2014;Чукотский автономный округ;27.44
2014;Якутия;28.25
2014;Ямало-Ненецкий автономный округ;42.6
2014;Ярославская область;40.79
2015;Адыгея;24.73
2015;Алтайский край;36.65
2015;Амурская область;35.55
2015;Архангельская область;38.66
2015;Астраханская область;27.05
2015;Башкортостан;46.75
2015;Белгородская область;40.45
2015;Брянская область;36.18
2015;Бурятия;38.58
2015;Владимирская область;35.13
2015;Волгоградская область;45.23
2015;Вологодская область;40.79
2015;Воронежская область;58.89
2015;Дагестан;17.59
2015;Еврейская автономная область;42.36
2015;Забайкальский край;45.28
2015;Ивановская область;39.91
2015;Ингушетия;24.54
2015;Иркутская область;47.78
2015;Кабардино-Балкария;36.58
2015;Калининградская область;46.18
2015;Калмыкия;32.15
2015;Калужская область;45.94
2015;Камчатский край;29.17
2015;Карачаево-Черкесия;22.46
2015;Карелия;43.35
2015;Кемеровская область;43.21
2015;Кировская область;37.36
2015;Костромская область;31.92
2015;Краснодарский край;46.38
2015;Красноярский край;40.71
2015;Крым;53.16
2015;Курганская область;42.23
2015;Курская область;26.15
2015;Ленинградская область;38.94
2015;Липецкая область;33.12
2015;Магаданская область;34.51
2015;Марий Эл;36.88
2015;Мордовия;28.39
2015;Москва;70.39
2015;Московская область;40.69
2015;Мурманская область;52.8
2015;Ненецкий автономный округ;23.81
2015;Нижегородская область;42.21
2015;Новгородская область;37.83
2015;Новосибирская область;49.85
2015;Омская область;37.42
2015;Оренбургская область;42.36
2015;Орловская область;47.83
2015;Пензенская область;28.57
2015;Пермский край;40.81
2015;Приморский край;49.31
2015;Псковская область;47.05
2015;Республика Алтай;27.96
2015;Республика Коми;39.62
2015;Республика Тыва;35.1
2015;Ростовская область;47.84
2015;Рязанская область;28.76
2015;Самарская область;36.72
2015;Санкт-Петербург;45.76
2015;Саратовская область;36.85
2015;Сахалинская область;42.77
2015;Свердловская область;41.84
2015;Севастополь;72.91
2015;Северная Осетия;18.37
2015;Смоленская область;30.86
2015;Ставропольский край;40.0
2015;Тамбовская область;31.45
2015;Татарстан;44.42
2015;Тверская область;47.37
2015;Томская область;45.56
2015;Тульская область;33.53
2015;Тюменская область;48.04
2015;Удмуртия;40.05
